Код,Проєкт,Хто повідомив,Кому призначена,Пріоритет,Серйозність,Версія продукту,Категорія,Зареєстрована,Рівень доступу,Оновлена,Статистика,Статус,Резолюція,Виправлена у версії
00010,MyProject,administrator,administrator,нормальний,незначна,,General,2024-09-19,спільна,2024-09-19,"Некликабельный элемент ""Инновации"" в главном меню сайта",призначена,відкрита,
00009,MyProject,administrator,administrator,нормальний,незначна,,General,2024-09-19,спільна,2024-09-19,"Некликабельный элемент ""Услуги"" в главном меню сайта",призначена,відкрита,
00008,MyProject,administrator,administrator,нормальний,незначна,,General,2024-09-19,спільна,2024-09-19,"Отсутствие отображения изображений/информации в меню ""Лента""",призначена,відкрита,
00007,MyProject,administrator,administrator,нормальний,незначна,,General,2024-09-19,спільна,2024-09-19,"Некликабельный элемент ""Ракета"" - ""Вниз"" на главной странице сайта",призначена,відкрита,
00006,MyProject,administrator,administrator,нормальний,незначна,,General,2024-09-19,спільна,2024-09-19,"Отсутствует валидация в окне ""Появились вопросы?"" в поле ""ФИО""",призначена,відкрита,
00005,MyProject,administrator,administrator,високий,значна,,General,2024-09-19,спільна,2024-09-19,Отсутсвует возможность смены локализации на UA в английской локализации,призначена,відкрита,
00004,MyProject,administrator,administrator,високий,значна,,General,2024-09-19,спільна,2024-09-19,Отсутсвует возможность смены локализации на RU в английской локализации,призначена,відкрита,
00003,MyProject,administrator,administrator,високий,значна,,General,2024-09-19,спільна,2024-09-19,Отсутствует возможно смены локализации на ENG в русской локализации,призначена,відкрита,
00002,MyProject,administrator,administrator,високий,значна,,General,2024-09-19,спільна,2024-09-19,Отсутствует возможность смены локализации на UA в русской версии сайта,призначена,відкрита,
00001,MyProject,administrator,administrator,низький,незначна,,General,2024-09-19,спільна,2024-09-19,Отсутствует локализация в русской версии сайта,призначена,відкрита,
